Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Latitude,Longitude,Nearby Hotels,Nearby Restaurants,Nearby Attractions,Nearby Shopping Centers
Northern,Delhi,Delhi,India Gate,War Memorial,1921,0.5,4.6,0,Yes,Open All Days,Historical,Yes,2.6,Evening,28.612912,77.2295097,"['The Claridges (Rating: 4.5, Reviews: 8428, Address: 12, Doctor APJ Abdul Kalam Road, New Delhi)', 'Taj Mahal, New Delhi (Rating: 4.6, Reviews: 18853, Address: Taj Mahal, New Delhi Number 1, Man Singh Road Area, New Delhi)', 'Hotel Bright (Rating: 3.9, Reviews: 592, Address: M – 85, (outer circle) Connaught Place, Opp. Super Bazar, New Delhi)']","['The Oberoi, New Delhi (Rating: 4.6, Reviews: 10793, Address: Doctor Zakir Hussain Marg, New Delhi)', 'The Imperial New Delhi (Rating: 4.7, Reviews: 8566, Address: Janpath Lane, Connaught Place, New Delhi)', 'The Lodhi (Rating: 4.6, Reviews: 5862, Address: Lodhi Road, CGO Complex, Pragati Vihar, New Delhi)']","['Hotel Krishna by RCG Hotels (Rating: 3.7, Reviews: 2719, Address: 45, 8498, Arakashan Road, Paharganj, New Delhi)', 'Jantar Mantar (Rating: 4.2, Reviews: 33028, Address: Sansad Marg, New Delhi)', 'India Gate (Rating: 4.6, Reviews: 279508, Address: Kartavya Path, India Gate, New Delhi)']","['Santushti Shopping Complex دلهي (Rating: 4.4, Reviews: 1666, Address: Panchsheel Marg, Chanakyapuri, New Delhi)', 'S. Chander & Sons (Rating: 3.7, Reviews: 17, Address: 123, Palika Bazar, Radial Road Number 1, Connaught Place, New Delhi)', 'kashmir hotelzahgeer booking (Rating: 1, Reviews: 1, Address: 8 .m .m, Janpath, Connaught Place, New Delhi)']"
Northern,Delhi,Delhi,Humayun's Tomb,Tomb,1572,2,4.5,30,Yes,Open All Days,Historical,Yes,0.4,Afternoon,28.5932848,77.2507492,"['The Claridges (Rating: 4.5, Reviews: 8428, Address: 12, Doctor APJ Abdul Kalam Road, New Delhi)', 'Taj Mahal, New Delhi (Rating: 4.6, Reviews: 18853, Address: Taj Mahal, New Delhi Number 1, Man Singh Road Area, New Delhi)', 'The Manor Hotel (Rating: 4.4, Reviews: 970, Address: The Manor, 77, NH-19, Friends Colony West, New Friends Colony, New Delhi)']","['The Oberoi, New Delhi (Rating: 4.6, Reviews: 10793, Address: Doctor Zakir Hussain Marg, New Delhi)', 'The Lodhi (Rating: 4.6, Reviews: 5862, Address: Lodhi Road, CGO Complex, Pragati Vihar, New Delhi)', 'The Suryaa New Delhi (Rating: 4.3, Reviews: 19110, Address: MMA Road, New Friends Colony, New Delhi)']","['India Gate (Rating: 4.6, Reviews: 279508, Address: Kartavya Path, India Gate, New Delhi)', 'Lotus Temple (Rating: 4.5, Reviews: 67107, Address: Lotus Temple Rd Bahapur, Kalkaji, New Delhi)', 'National Zoological Park, New Delhi (Rating: 4.1, Reviews: 46369, Address: near Purana Qila, Mathura Road, New Delhi)']","['PT4S GROUP NEW DELHI (Rating: 4.3, Reviews: 26, Address: 430, Jangpura, Bhogal, New Delhi)', 'JM PUBLICITY INDIA PVT.LTD. (Rating: 4.2, Reviews: 5, Address: 44A, Jangpura Road, Jangpura, Bhogal, New Delhi)', 'Nestle Premix (Rating: 3.9, Reviews: 7, Address: 11, Hakikat Rai Marg, Jangpura, Block D, Jungpura Extension, New Delhi)']"
Northern,Delhi,Delhi,Akshardham Temple,Temple,2005,5,4.6,60,Yes,Open All Days,Religious,No,0.4,Afternoon,28.6126735,77.2772619,"['La Sagrita (Rating: 3.9, Reviews: 321, Address: # 14, Near Zoo, Sundar Nagar, New Delhi)', 'Eleven Bed & Breakfast (Rating: 4.3, Reviews: 83, Address: 11, Rahim Khan Marg, Nizamuddin East, New Delhi)', 'Jukaso Inn Pragati Maidan (Rating: 2.5, Reviews: 1137, Address: near Pragati Maidan, 49-50, Mathura Road, Sundar Nagar, New Delhi)']","['The Oberoi, New Delhi (Rating: 4.6, Reviews: 10793, Address: Doctor Zakir Hussain Marg, New Delhi)', 'The Lodhi (Rating: 4.6, Reviews: 5862, Address: Lodhi Road, CGO Complex, Pragati Vihar, New Delhi)', 'Maharaja Residency and Banquet (Rating: 3.8, Reviews: 889, Address: District Center, B-20, 21, Opp. V3S Mall, Laxmi Nagar, Delhi)']","['National Zoological Park, New Delhi (Rating: 4.1, Reviews: 46369, Address: near Purana Qila, Mathura Road, New Delhi)', 'India Gate (Rating: 4.6, Reviews: 279508, Address: Kartavya Path, India Gate, New Delhi)', 'Purana Quila (Rating: 4.2, Reviews: 32188, Address: J65V+RFH, Mathura Rd, Near Delhi Zoo, New Delhi)']","['TRENDS (Rating: 3.9, Reviews: 527, Address: District Centre, V3S Mall, Plot No-12, Laxmi Nagar, Vikash Marg Road, New Marg, New Delhi)', 'Max (Rating: 4.1, Reviews: 1202, Address: 1st Floor, V3S MALL, District Center, Vikas Marg, Laxmi Nagar, New Delhi)', 'Mother Dairy shop no.15712 (Rating: 4.4, Reviews: 138, Address: Gate no. 2 near akshardham common wealth games village)']"
Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,2019,2,4.1,50,Yes,Monday,Environmental,Yes,0.27,Evening,28.5926939,77.2569715,"['Taj Mahal, New Delhi (Rating: 4.6, Reviews: 18853, Address: Taj Mahal, New Delhi Number 1, Man Singh Road Area, New Delhi)', 'The Claridges (Rating: 4.5, Reviews: 8428, Address: 12, Doctor APJ Abdul Kalam Road, New Delhi)', 'The Manor Hotel (Rating: 4.4, Reviews: 970, Address: The Manor, 77, NH-19, Friends Colony West, New Friends Colony, New Delhi)']","['The Oberoi, New Delhi (Rating: 4.6, Reviews: 10793, Address: Doctor Zakir Hussain Marg, New Delhi)', 'The Suryaa New Delhi (Rating: 4.3, Reviews: 19110, Address: MMA Road, New Friends Colony, New Delhi)', 'The Lodhi (Rating: 4.6, Reviews: 5862, Address: Lodhi Road, CGO Complex, Pragati Vihar, New Delhi)']","['India Gate (Rating: 4.6, Reviews: 279508, Address: Kartavya Path, India Gate, New Delhi)', 'Lotus Temple (Rating: 4.5, Reviews: 67107, Address: Lotus Temple Rd Bahapur, Kalkaji, New Delhi)', 'National Zoological Park, New Delhi (Rating: 4.1, Reviews: 46369, Address: near Purana Qila, Mathura Road, New Delhi)']","['PT4S GROUP NEW DELHI (Rating: 4.3, Reviews: 26, Address: 430, Jangpura, Bhogal, New Delhi)', 'JM PUBLICITY INDIA PVT.LTD. (Rating: 4.2, Reviews: 5, Address: 44A, Jangpura Road, Jangpura, Bhogal, New Delhi)', 'Nestle Premix (Rating: 3.9, Reviews: 7, Address: 11, Hakikat Rai Marg, Jangpura, Block D, Jungpura Extension, New Delhi)']"
Northern,Delhi,Delhi,Jantar Mantar,Observatory,1724,2,4.2,15,Yes,Open All Days,Scientific,Yes,0.31,Morning,28.6270547,77.2166267,"['The Claridges (Rating: 4.5, Reviews: 8428, Address: 12, Doctor APJ Abdul Kalam Road, New Delhi)', 'Taj Mahal, New Delhi (Rating: 4.6, Reviews: 18853, Address: Taj Mahal, New Delhi Number 1, Man Singh Road Area, New Delhi)', 'Hotel Kingston Park - Karol Bagh Delhi (Rating: 3.7, Reviews: 689, Address: 8/5, Central, WEA, Karol Bagh, New Delhi)']","['Jaypee Siddharth - 5 Star Luxury Hotels in Delhi (Rating: 4.2, Reviews: 10641, Address: 3, Rajendra Place, New Delhi)', 'The Imperial New Delhi (Rating: 4.7, Reviews: 8566, Address: Janpath Lane, Connaught Place, New Delhi)', 'The Oberoi, New Delhi (Rating: 4.6, Reviews: 10793, Address: Doctor Zakir Hussain Marg, New Delhi)']","['Hotel Krishna by RCG Hotels (Rating: 3.7, Reviews: 2719, Address: 45, 8498, Arakashan Road, Paharganj, New Delhi)', 'Rang Mahal, New Delhi (Rating: 4.4, Reviews: 229, Address: M64V+699, Lal Qila, Old Delhi, New Delhi)', 'Diwan-i-Khas (Rating: 4.5, Reviews: 484, Address: M64V+MCR, Lal Qila, Old Delhi, New Delhi)']","['S. Chander & Sons (Rating: 3.7, Reviews: 17, Address: 123, Palika Bazar, Radial Road Number 1, Connaught Place, New Delhi)', 'Santushti Shopping Complex دلهي (Rating: 4.4, Reviews: 1666, Address: Panchsheel Marg, Chanakyapuri, New Delhi)', 'kashmir hotelzahgeer booking (Rating: 1, Reviews: 1, Address: 8 .m .m, Janpath, Connaught Place, New Delhi)']"
Northern,Delhi,Delhi,Chandni Chowk,Market,1700,3,4.2,0,Yes,Sunday,Market,Yes,0.25,Afternoon,28.6505331,77.230337,"['Maidens Hotel (Rating: 4.5, Reviews: 4586, Address: 7, Sham Nath Marg, Civil Lines, New Delhi)', 'THE SINGH EMPIRE (Rating: 3.7, Reviews: 1702, Address: near Shiela cinema, 8707, Desh Bandhu Gupta Road, Paharganj, New Delhi)', 'Hotel Kingston Park - Karol Bagh Delhi (Rating: 3.7, Reviews: 689, Address: 8/5, Central, WEA, Karol Bagh, New Delhi)']","['The Imperial New Delhi (Rating: 4.7, Reviews: 8566, Address: Janpath Lane, Connaught Place, New Delhi)', 'Hotel Le Benz (Rating: 3.6, Reviews: 964, Address: 2222, Chuna Mandi, Paharganj, New Delhi)', 'Veda Restaurant (Rating: 4.2, Reviews: 3763, Address: H-27, Tropical Building, Connaught Place, New Delhi)']","['Hotel Krishna by RCG Hotels (Rating: 3.7, Reviews: 2719, Address: 45, 8498, Arakashan Road, Paharganj, New Delhi)', 'Rang Mahal, New Delhi (Rating: 4.4, Reviews: 229, Address: M64V+699, Lal Qila, Old Delhi, New Delhi)', 'Diwan-i-Khas (Rating: 4.5, Reviews: 484, Address: M64V+MCR, Lal Qila, Old Delhi, New Delhi)']","['S. Chander & Sons (Rating: 3.7, Reviews: 17, Address: 123, Palika Bazar, Radial Road Number 1, Connaught Place, New Delhi)', 'Jagdish & Sons (Rating: 4.1, Reviews: 197, Address: 987, Gali Bhojpura Road, Maliwara, Chandni Chowk, Delhi)', 'Rajender Nath Chotey Lal (Rating: 3.6, Reviews: 18, Address: 23-24, Paranthe Wali Gali, Tiraha Behram Khan, Old Delhi, Delhi)']"
Northern,Delhi,Delhi,Lotus Temple,Temple,1986,1,4.5,0,Yes,Monday,Religious,Yes,0.59,Evening,28.553492,77.2588264,"['The Manor Hotel (Rating: 4.4, Reviews: 970, Address: The Manor, 77, NH-19, Friends Colony West, New Friends Colony, New Delhi)', 'Basil (Rating: 4.1, Reviews: 381, Address: No.77, Sukhdev Vihar, Okhla, New Delhi)', 'The Suryaa New Delhi (Rating: 4.3, Reviews: 19110, Address: MMA Road, New Friends Colony, New Delhi)']","['The Suryaa New Delhi (Rating: 4.3, Reviews: 19110, Address: MMA Road, New Friends Colony, New Delhi)', 'The Nanee Suites (Rating: 3.9, Reviews: 539, Address: Plot No. 49, Rd No.13-A, Pocket 1, Jasola Vihar, New Delhi)', 'Shervani Nehru Place (Rating: 4, Reviews: 1301, Address: B-20, Chirag Enclave, Nehru Place, New Delhi)']","['Lotus Temple (Rating: 4.5, Reviews: 67107, Address: Lotus Temple Rd Bahapur, Kalkaji, New Delhi)', 'Satpula, Delhi (Rating: 4.1, Reviews: 868, Address: G6JF+MCP, Press Enclave Marg, Khidki Village, Malviya Nagar, New Delhi)', 'Dargah Hazrat Nizamuddin Aulia (Rating: 4.6, Reviews: 23848, Address: Boali Gate Road, Nizamuddin West, New Delhi)']","['THE CARPET CELLÄR (Rating: 4.4, Reviews: 86, Address: House No 1 ,Anand Lok (Basement), Entrance from August Kranti Marg, New Delhi)', 'JMD Kohinoor (Rating: 4, Reviews: 657, Address: Greater Kailash II, New Delhi)', 'Sharda Chambers (Rating: 3, Reviews: 16, Address: 42, Guru Ravidas Marg, Subash Khand, Giri Nagar, Kalkaji, New Delhi)']"
Northern,Delhi,Delhi,Red Fort,Fort,1648,2,4.5,35,Yes,Open All Days,Historical,Yes,1.5,Afternoon,28.6561592,77.2410203,"['Maidens Hotel (Rating: 4.5, Reviews: 4586, Address: 7, Sham Nath Marg, Civil Lines, New Delhi)', 'THE SINGH EMPIRE (Rating: 3.7, Reviews: 1702, Address: near Shiela cinema, 8707, Desh Bandhu Gupta Road, Paharganj, New Delhi)', 'Hotel Chanchal Continental (Rating: 3.6, Reviews: 530, Address: Behind Shiela Cinema, 8524, Arakashan Road, Paharganj, New Delhi)']","['The Imperial New Delhi (Rating: 4.7, Reviews: 8566, Address: Janpath Lane, Connaught Place, New Delhi)', 'Hotel Le Benz (Rating: 3.6, Reviews: 964, Address: 2222, Chuna Mandi, Paharganj, New Delhi)', 'Veda Restaurant (Rating: 4.2, Reviews: 3763, Address: H-27, Tropical Building, Connaught Place, New Delhi)']","['Hotel Krishna by RCG Hotels (Rating: 3.7, Reviews: 2719, Address: 45, 8498, Arakashan Road, Paharganj, New Delhi)', 'Rang Mahal, New Delhi (Rating: 4.4, Reviews: 229, Address: M64V+699, Lal Qila, Old Delhi, New Delhi)', 'Diwan-i-Khas (Rating: 4.5, Reviews: 484, Address: M64V+MCR, Lal Qila, Old Delhi, New Delhi)']","['TRENDS (Rating: 3.9, Reviews: 527, Address: District Centre, V3S Mall, Plot No-12, Laxmi Nagar, Vikash Marg Road, New Marg, New Delhi)', 'Jagdish & Sons (Rating: 4.1, Reviews: 197, Address: 987, Gali Bhojpura Road, Maliwara, Chandni Chowk, Delhi)', 'S. Chander & Sons (Rating: 3.7, Reviews: 17, Address: 123, Palika Bazar, Radial Road Number 1, Connaught Place, New Delhi)']"
Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,1400,1,4.2,0,Yes,Open All Days,Historical,Yes,0.41,Afternoon,28.626062,77.2250369,"['The Claridges (Rating: 4.5, Reviews: 8428, Address: 12, Doctor APJ Abdul Kalam Road, New Delhi)', 'Taj Mahal, New Delhi (Rating: 4.6, Reviews: 18853, Address: Taj Mahal, New Delhi Number 1, Man Singh Road Area, New Delhi)', 'THE SINGH EMPIRE (Rating: 3.7, Reviews: 1702, Address: near Shiela cinema, 8707, Desh Bandhu Gupta Road, Paharganj, New Delhi)']","['The Imperial New Delhi (Rating: 4.7, Reviews: 8566, Address: Janpath Lane, Connaught Place, New Delhi)', 'The Oberoi, New Delhi (Rating: 4.6, Reviews: 10793, Address: Doctor Zakir Hussain Marg, New Delhi)', 'Hotel Le Benz (Rating: 3.6, Reviews: 964, Address: 2222, Chuna Mandi, Paharganj, New Delhi)']","['Hotel Krishna by RCG Hotels (Rating: 3.7, Reviews: 2719, Address: 45, 8498, Arakashan Road, Paharganj, New Delhi)', 'Rang Mahal, New Delhi (Rating: 4.4, Reviews: 229, Address: M64V+699, Lal Qila, Old Delhi, New Delhi)', 'Diwan-i-Khas (Rating: 4.5, Reviews: 484, Address: M64V+MCR, Lal Qila, Old Delhi, New Delhi)']","['S. Chander & Sons (Rating: 3.7, Reviews: 17, Address: 123, Palika Bazar, Radial Road Number 1, Connaught Place, New Delhi)', 'My Voucher World (Rating: 3.8, Reviews: 4, Address: 3rd floor outer circle cannought place, P14, Connaught Circle, New Delhi)', 'kashmir hotelzahgeer booking (Rating: 1, Reviews: 1, Address: 8 .m .m, Janpath, Connaught Place, New Delhi)']"
Northern,Delhi,Delhi,Sunder Nursery,Park,1600,2,4.6,0,Yes,Open All Days,Botanical,Yes,0.16,Afternoon,28.5956467,77.2451691,"['The Claridges (Rating: 4.5, Reviews: 8428, Address: 12, Doctor APJ Abdul Kalam Road, New Delhi)', 'Taj Mahal, New Delhi (Rating: 4.6, Reviews: 18853, Address: Taj Mahal, New Delhi Number 1, Man Singh Road Area, New Delhi)', 'The Manor Hotel (Rating: 4.4, Reviews: 970, Address: The Manor, 77, NH-19, Friends Colony West, New Friends Colony, New Delhi)']","['The Oberoi, New Delhi (Rating: 4.6, Reviews: 10793, Address: Doctor Zakir Hussain Marg, New Delhi)', 'The Lodhi (Rating: 4.6, Reviews: 5862, Address: Lodhi Road, CGO Complex, Pragati Vihar, New Delhi)', 'The Imperial New Delhi (Rating: 4.7, Reviews: 8566, Address: Janpath Lane, Connaught Place, New Delhi)']","['India Gate (Rating: 4.6, Reviews: 279508, Address: Kartavya Path, India Gate, New Delhi)', 'Jantar Mantar (Rating: 4.2, Reviews: 33028, Address: Sansad Marg, New Delhi)', 'National Zoological Park, New Delhi (Rating: 4.1, Reviews: 46369, Address: near Purana Qila, Mathura Road, New Delhi)']","['PT4S GROUP NEW DELHI (Rating: 4.3, Reviews: 26, Address: 430, Jangpura, Bhogal, New Delhi)', 'JM PUBLICITY INDIA PVT.LTD. (Rating: 4.2, Reviews: 5, Address: 44A, Jangpura Road, Jangpura, Bhogal, New Delhi)', 'Nestle Premix (Rating: 3.9, Reviews: 7, Address: 11, Hakikat Rai Marg, Jangpura, Block D, Jungpura Extension, New Delhi)']"
